CA37|CA|37|California|District 37|639088|30.2|25.2|0.8|11.2|1.4|5.0|26.1|43.2|16.6|24.8|41.1|34006|22.0|25.2|49.8|17.8|76.5|0.0|0.0|8.0|36.2|15.2|25.9|27.7|20.4||||41.7|25.0|0.7|0.6||
CA38|CA|38|California|District 38|639088|43.6|3.9|1.2|10.4|0.2|4.9|35.8|70.6|13.6|3.6|55.4|42488|23.4|16.3|41.6|14.5|79.6|0.0|0.0|9.2|37.0|12.5|22.5|28.3|24.5||||58.1|33.7|0.3|0.4||
CA39|CA|39|California|District 39|639088|45.0|6.4|1.0|9.7|0.4|4.7|33.0|61.2|21.0|6.1|50.1|45307|26.3|15.7|43.6|12.9|81.1|0.0|0.0|8.1|38.4|14.7|25.4|29.6|22.0||||58.6|35.2|0.3|0.3||
CA40|CA|40|California|District 40|639088|62.9|2.4|0.7|15.8|0.4|4.3|13.5|29.6|49.3|2.2|32.2|54356|33.5|10.2|49.5|17.8|79.8|0.0|0.0|10.5|46.4|26.4|34.9|29.6|13.8||||56.9|28.8|0.3|0.3||
CA41|CA|41|California|District 41|639087|73.7|5.5|1.5|3.7|0.2|4.5|10.8|23.4|63.5|5.3|14.1|38721|30.9|15.2|52.1|12.3|78.5|0.0|0.1|13.5|38.7|18.1|31.4|25.9|12.9||||53.0|24.2|0.3|0.4||
CA42|CA|42|California|District 42|639088|66.1|3.0|0.5|16.0|0.2|4.1|10.2|23.8|54.4|2.9|24.8|70463|39.9|6.0|47.2|13.9|84.1|0.0|0.0|8.2|48.1|34.8|43.5|30.5|9.1||||65.2|35.3|0.2|0.2||
CA43|CA|43|California|District 43|639087|43.9|12.8|1.3|3.2|0.4|5.3|33.1|58.3|23.4|12.4|39.4|37390|25.2|20.7|53.2|16.2|80.1|0.0|0.0|6.2|35.2|8.8|19.2|27.1|24.0||||54.4|35.0|0.4|0.4||
CA44|CA|44|California|District 44|639088|65.1|5.7|1.0|4.9|0.3|4.6|18.3|35.0|51.3|5.5|24.3|51578|34.1|12.1|53.4|14.9|81.8|0.0|0.0|8.3|43.0|21.1|31.9|27.4|15.1||||57.8|31.9|0.3|0.3||
CA45|CA|45|California|District 45|639088|65.6|6.6|1.0|3.0|0.2|3.9|19.7|38.0|50.1|6.3|26.8|40468|29.2|15.0|53.2|20.5|71.5|0.0|0.1|15.6|37.4|17.4|26.5|26.8|11.5||||54.7|25.5|0.9|0.3||
CA46|CA|46|California|District 46|639088|70.8|1.5|0.6|15.5|0.3|3.9|7.4|16.9|62.8|1.4|24.3|61567|36.0|7.8|47.9|19.6|78.1|0.0|0.0|12.8|50.7|36.4|44.1|28.6|9.0||||51.2|22.2|0.5|0.3||
CA47|CA|47|California|District 47|639087|43.3|1.8|1.1|14.0|0.4|4.7|34.7|65.3|17.3|1.5|64.0|41618|24.5|19.1|53.6|20.0|72.5|0.0|0.0|6.4|38.4|10.0|17.2|23.8|26.4||||59.3|39.4|0.5|0.3||
CA48|CA|48|California|District 48|639087|75.3|1.5|0.4|12.8|0.2|3.8|6.1|14.7|68.0|1.4|21.4|69663|40.3|6.3|55.7|25.9|72.5|0.0|0.0|11.7|51.3|46.5|50.1|29.7|5.9||||52.4|24.9|0.5|0.3||
CA49|CA|49|California|District 49|639087|70.0|5.3|1.4|3.6|0.6|4.4|14.8|29.5|57.9|5.0|20.8|46445|34.1|11.9|56.3|22.6|66.0|0.0|0.2|12.7|38.8|20.7|30.9|27.2|13.5||||60.1|30.3|0.3|0.3||
CA50|CA|50|California|District 50|639087|74.2|1.9|0.6|10.4|0.3|4.0|8.6|18.8|65.8|1.8|20.4|59813|38.6|8.1|53.5|26.1|70.0|0.0|0.1|12.3|47.7|40.0|45.2|25.6|8.6||||56.2|26.9|0.3|0.3||
CA51|CA|51|California|District 51|639087|43.5|9.8|1.0|12.7|0.6|5.2|27.2|53.3|21.3|9.4|47.2|39243|27.2|16.3|48.4|31.4|62.6|0.0|0.1|9.9|35.8|15.2|26.4|28.4|13.4||||56.6|31.6|0.4|0.3||
CA52|CA|52|California|District 52|639087|79.7|3.8|0.9|5.5|0.4|4.5|5.3|13.7|72.9|3.7|12.3|52940|39.1|8.1|51.4|29.9|61.5|0.0|0.2|11.1|47.2|28.6|38.8|28.9|8.5||||56.1|27.2|0.3|0.4||
CA53|CA|53|California|District 53|639087|63.1|7.5|0.8|8.5|0.4|5.0|14.7|29.4|51.0|7.2|29.6|36637|31.6|20.2|63.5|35.9|59.7|0.0|0.1|9.9|45.9|32.2|38.6|26.0|8.9||||33.3|15.3|1.0|0.5||
CO01|CO|1|Colorado|District 1|614465|67.1|10.4|1.3|2.8|0.1|3.7|14.6|30.0|54.3|10.1|20.2|39658|35.7|13.7|57.4|21.9|75.1|0.0|0.2|11.3|51.6|34.3|37.7|26.6|10.3||||35.0|15.1|0.8|0.5||
CO02|CO|2|Colorado|District 2|614465|86.3|1.0|0.8|3.2|0.1|2.5|6.1|14.7|78.9|1.0|9.7|55204|47.2|7.4|58.4|17.9|76.3|0.0|0.2|6.6|56.6|39.3|39.9|26.4|10.1||||51.7|25.5|0.3|0.5||
CO03|CO|3|Colorado|District 3|614467|86.3|0.8|1.9|0.5|0.1|2.5|7.9|21.5|74.6|0.7|8.4|35970|38.8|12.8|51.6|12.5|63.9|0.8|0.3|13.4|46.9|23.8|30.2|25.9|11.1||||53.1|22.4|0.2|0.3||
CO04|CO|4|Colorado|District 4|614466|87.0|0.8|0.8|1.1|0.1|2.3|8.0|17.0|79.4|0.7|9.2|43389|44.0|10.9|56.0|14.1|74.5|0.0|0.2|10.4|50.4|28.7|35.2|24.6|13.3||||55.5|26.2|0.2|0.3||
CO05|CO|5|Colorado|District 5|614467|82.6|6.0|1.0|2.2|0.2|3.6|4.4|11.1|77.4|5.7|5.6|45454|43.2|8.3|59.2|14.7|75.1|0.0|0.1|9.2|46.7|29.8|36.2|27.1|10.6||||56.0|26.8|0.2|0.3||
CO06|CO|6|Colorado|District 6|614466|91.1|1.9|0.5|2.7|0.1|2.0|1.7|5.8|87.7|1.9|4.5|73393|50.7|2.7|54.1|12.1|80.7|0.0|0.1|6.5|54.9|46.8|48.0|29.4|6.1||||66.9|35.5|0.2|0.3||
CO07|CO|7|Colorado|District 7|614465|79.0|6.0|1.0|2.9|0.1|3.3|7.7|19.6|68.9|5.8|13.3|46149|39.1|8.9|54.2|18.6|78.9|0.0|0.0|10.2|51.7|26.0|32.6|30.0|12.1||||47.7|21.5|0.4|0.4||
CT01|CT|1|Connecticut|District 1|681113|75.2|13.1|0.2|2.5|0.0|2.4|6.6|11.4|71.6|12.6|15.7|50227|37.2|9.6|41.8|12.9|40.9|0.1|42.8|14.8|48.4|28.2|38.0|27.9|12.5||||48.1|20.8|0.3|0.4||
CT02|CT|2|Connecticut|District 2|681113|90.5|3.5|0.5|1.7|0.0|1.9|1.8|4.3|88.6|3.3|5.3|54498|43.6|5.8|41.5|15.2|10.3|0.2|67.9|12.3|50.4|28.8|37.4|25.5|12.0||||55.9|25.3|0.2|0.3||
CT03|CT|3|Connecticut|District 3|681113|79.8|11.9|0.2|2.5|0.0|2.0|3.4|8.0|76.1|11.5|11.8|49752|37.1|8.8|40.8|12.8|35.9|0.1|48.6|14.7|49.0|28.0|37.5|27.2|12.9||||48.1|21.0|0.3|0.4||
CT04|CT|4|Connecticut|District 4|681113|77.6|11.4|0.2|3.3|0.0|2.5|5.0|12.8|70.9|10.9|18.8|66598|36.5|7.4|42.9|13.2|33.7|0.0|50.2|13.3|47.4|42.2|45.3|26.6|8.6||||54.9|26.7|0.3|0.3||
CT05|CT|5|Connecticut|District 5|681113|85.1|5.6|0.2|2.1|0.0|2.2|4.8|10.5|80.2|5.2|14.7|53118|40.1|7.7|42.1|18.9|23.5|0.1|53.2|13.8|49.3|29.9|37.7|25.2|13.7||||53.2|24.5|0.3|0.3||
DC01|DC|1|District of Columbia|District 1|572059|30.8|60.0|0.3|2.7|0.1|2.4|3.8|7.9|27.8|59.4|12.7|40127|25.4|20.2|50.1|24.2|65.4|0.0|6.9|12.3|46.0|39.1|51.1|22.8|5.2||||22.8|8.4|1.0|0.4||
DE01|DE|1|Delaware|District 1|783600|74.6|19.2|0.3|2.1|0.0|1.7|2.0|4.8|72.5|18.9|6.2|47381|36.9|9.2|44.0|25.6|36.8|0.1|25.9|13.0|48.1|25.0|35.3|27.6|12.5||||51.3|21.9|0.4|0.3||
FL01|FL|1|Florida|District 1|639295|79.7|14.1|0.9|1.9|0.1|2.3|0.9|3.0|78.0|14.0|2.9|36738|34.7|13.1|51.4|66.0|26.4|0.0|0.2|12.7|41.2|20.2|29.8|27.3|11.6||||53.0|22.0|0.2|0.3||
FL02|FL|2|Florida|District 2|639295|73.4|22.3|0.5|1.3|0.0|1.5|0.9|3.3|71.5|22.1|3.3|34718|35.9|16.5|49.9|69.5|14.0|0.0|1.5|12.0|44.6|24.1|34.8|26.9|9.5||||47.8|19.6|0.3|0.3||
FL03|FL|3|Florida|District 3|639295|42.4|49.9|0.3|1.7|0.1|2.7|2.9|8.0|38.4|49.3|9.8|29785|26.6|21.5|50.8|77.8|8.7|0.0|4.9|10.8|41.8|12.9|22.6|29.2|15.8||||37.6|16.4|0.4|0.3||
FL04|FL|4|Florida|District 4|639295|80.4|13.7|0.4|2.5|0.1|1.8|1.2|4.2|77.8|13.5|5.4|43947|40.4|9.1|50.8|83.7|4.1|0.0|2.5|10.9|48.0|24.4|34.5|30.3|10.6||||52.9|23.8|0.3|0.3||
FL05|FL|5|Florida|District 5|639295|91.4|4.7|0.4|0.8|0.0|1.3|1.5|5.6|87.7|4.5|5.0|34815|27.9|10.6|49.0|86.0|4.2|0.0|0.8|25.7|37.3|14.3|26.8|28.3|12.8||||60.3|17.4|0.3|0.3||
